RecordID,Timestamp,Hostname,EventID,Provider,Level,Account,SourceIP,Process,CommandLine,FilePath,SHA256,Message,Mitre_Tactic,Mitre_Technique,Mitre_Technique_ID,Notes
219,2025-08-05 12:48:55,WIN-HOST-028,4698,Microsoft-Windows-Sysmon,Information,krbtgt,255.166.35.208,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg1 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\9682adf5.tmp,daee1c7ede80d7a535e36f2a160b51c29cb8afe633d2a72e9a2d5a1b9dd00f8d,Scheduled task created or executed.,Persistence,Scheduled Task/Job,T1053,Persistence via scheduled task.
220,2025-09-10 16:09:12,WIN-HOST-058,7,Microsoft-Windows-Sysmon,Warning,Guest,255.76.150.214,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg6 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\7b0e386e.tmp,15dfa0d4b43ddc5e44a5c6b19fd99a5072eb541b5a4a29b40b1141c33e59d2e6,Image loaded (DLL).,Defense Evasion,Masquerading,T1036,
221,2025-08-17 20:00:49,WIN-HOST-045,7,Microsoft-Windows-Sysmon,Warning,Administrator,138.203.190.9,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg3 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\4f76b940.tmp,c008c63e1a25fcc4c0d20432b58364f60d7251dafb90ca36bed2ecf9961f6dd5,Image loaded (DLL).,Privilege Escalation,Valid Accounts,T1078,
222,2025-09-02 13:41:36,WIN-HOST-023,4698,Microsoft-Windows-Sysmon,Warning,john.doe,57.103.230.10,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg2 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\a940c9df.tmp,c6b0a42e2a85e2c4b6f52fc004117d530c8ac446cdcac91bf70a948a7ff8b13b,Scheduled task created or executed.,Persistence,Scheduled Task/Job,T1053,Persistence via scheduled task.
223,2025-07-31 21:33:09,WIN-HOST-004,11,Microsoft-Windows-Sysmon,Error,john.doe,146.128.197.170,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg5 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\0f29b943.tmp,b11eb56b7adbeb182063a57c4b38e1b3dee425c2881c7b20f3cadb4269d43610,File created.,Discovery,System Network Connections Discovery,T1049,
224,2025-07-20 10:45:51,WIN-HOST-012,4688,Microsoft-Windows-Security-Auditing,Information,Administrator,147.44.174.1,C:\Program Files\7-Zip\7z.exe,"C:\Program Files\7-Zip\7z.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\Administrator\AppData\Local\Temp\d061ca42.tmp,d5949488606105867fd1c832361d58bf8e93c2b83934f5994af4e1a0ab231a7f,Command executed via scripting engine.,Execution,PowerShell,T1059.001,Suspicious scripting activity; check base64 or obfuscation.
225,2025-09-10 15:53:24,WIN-HOST-058,1,Microsoft-Windows-Sysmon,Information,alice,88.50.30.228,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg5 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\efbb185e.tmp,dddf614fa5f53a7eb60ec743aa901aa5a6f2d3f5dc1e6b0670ffaa5c8564ab9f,Process Create.,Privilege Escalation,Valid Accounts,T1078,
226,2025-07-22 19:03:59,WIN-HOST-024,4688,Microsoft-Windows-Sysmon,Information,Guest,222.67.30.6,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg1 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\e19ac5b9.tmp,53f22eaeaebf99d735a1127097006c056dd36fc1717830eb0a48ebc53e2fb1e5,Registry query or modification.,Discovery,Query Registry,T1012,Possible discovery of startup keys or persistence mechanisms.
227,2025-08-19 08:02:44,WIN-HOST-022,4688,Microsoft-Windows-Security-Auditing,Information,Guest,57.184.107.178,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg5 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\adfecb16.tmp,1ae47e61c8613f621324099b1ab1d267a524f668905b9ccdb749816c34963438,A new process has been created.,Persistence,Boot or Logon Autostart Execution,T1547,
228,2025-08-21 06:49:36,WIN-HOST-011,8,Microsoft-Windows-Sysmon,Information,svc_updater,141.3.241.122,C:\Program Files\Mozilla Firefox\firefox.exe,"C:\Program Files\Mozilla Firefox\firefox.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\svc_updater\AppData\Local\Temp\32c5fe7d.tmp,4bc249ae240763863ef86ab5cfcbf3676b6b05845b202c3d64e88175283926e3,Command executed via scripting engine.,Execution,PowerShell,T1059.001,Suspicious scripting activity; check base64 or obfuscation.
229,2025-07-20 04:59:08,WIN-HOST-069,5156,Microsoft-Windows-Eventlog,Warning,Administrator,164.23.192.147,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg5 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\8d3febb3.tmp,de61efdf486c934ca0f6357b8d8b63bfc05415365475c0635c94b0d1a1062ddb,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
230,2025-07-15 21:44:54,WIN-HOST-080,4657,Microsoft-Windows-Security-Auditing,Information,krbtgt,144.73.69.131,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg1 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\f2ff760a.tmp,6f047f2498ad5c6a48aa983b4e3964051fab5ed18699e9c774d35668113f4f43,Registry query or modification.,Discovery,Query Registry,T1012,Possible discovery of startup keys or persistence mechanisms.
231,2025-07-17 14:00:42,WIN-HOST-074,4624,Microsoft-Windows-Security-Auditing,Information,svc_updater,163.148.237.84,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg6 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\51f23b2d.tmp,2b3d019dfc8a1be71a5394e961849f04aa2ddf31a7d1b8331e1d5a99d84d5762,An account was successfully logged on.,Lateral Movement,Remote Services,T1021,
232,2025-08-20 17:43:24,WIN-HOST-039,4663,Microsoft-Windows-Security-Auditing,Information,alice,175.91.143.71,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg4 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\1928a038.tmp,22aa9388e7922dc63f3281a9f1a48a3b040e313ce979ddf01e79305556ce6465,Obfuscated script or binary detected.,Defense Evasion,Obfuscated Files or Information,T1027,Base64-heavy command line or packed binary.
233,2025-07-13 00:07:16,WIN-HOST-008,4625,Microsoft-Windows-Security-Auditing,Warning,Guest,106.102.47.206,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg2 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\fd1edb08.tmp,ebe829972cf2b84917b3fdb863d2f93941d3bc094e551916f3be1155afd37c02,An account failed to log on.,Discovery,System Network Connections Discovery,T1049,
234,2025-07-20 23:05:10,WIN-HOST-019,1,Microsoft-Windows-Security-Auditing,Information,john.doe,220.91.231.209,C:\Windows\System32\rundll32.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg2 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\ad3beb2a.tmp,5b7d43388fc8a99e8939e450afcf37dbd2cb91af19642a5752502fe9f0d01cb4,Attempt to read LSASS memory process or dump credentials detected.,Credential Access,Credential Dumping,T1003,Possible Mimikatz-like activity: access to lsass.exe memory.
235,2025-07-25 07:57:54,WIN-HOST-014,4663,Microsoft-Windows-Security-Auditing,Information,john.doe,119.106.191.9,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg4 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\b162e7b8.tmp,28f8a84d6da12c5631a9a6de3bf6326b05f5b263c8650e2fb76604dbf137fd93,An attempt was made to access an object.,Privilege Escalation,Exploitation for Privilege Escalation,T1068,
236,2025-09-04 04:26:18,WIN-HOST-013,7045,Service Control Manager,Information,SYSTEM,242.4.190.137,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg5 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\811689c9.tmp,44141f93df8830fc20ac60c9d496e00b92f2b07def2abb73d8c8a5768d27ac15,A service was installed in the system.,Discovery,File and Directory Discovery,T1083,
237,2025-08-24 18:11:43,WIN-HOST-021,5145,Microsoft-Windows-Security-Auditing,Information,john.doe,40.202.170.29,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg4 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\ec1d3c19.tmp,e3289018e755e78f8a970d1be3364dc05784c6ba83378e0396edbcef2827c458,Access to ADMIN$ share or C$ share.,Lateral Movement,Windows Admin Shares,T1021.002,Possible lateral movement using admin shares.
238,2025-06-24 12:18:44,WIN-HOST-040,5156,Microsoft-Windows-Security-Auditing,Information,alice,61.160.100.118,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg3 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\d299d13d.tmp,08dd5dabb268b5a1a9216eb668ce64f9ce8886c4d529d8200bc935953eb01f18,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
239,2025-08-21 13:05:57,WIN-HOST-064,4624,Microsoft-Windows-Security-Auditing,Information,krbtgt,27.132.237.195,C:\Windows\System32\mpssvc.dll,"C:\Windows\System32\mpssvc.dll -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\krbtgt\AppData\Local\Temp\5265d098.tmp,0b9d6717ec3574374e0a223c36990309799db1a2e3439c206a33a6d1808236b0,Command executed via scripting engine.,Execution,PowerShell,T1059.001,Suspicious scripting activity; check base64 or obfuscation.
240,2025-08-13 08:23:00,WIN-HOST-052,5156,Microsoft-Windows-Sysmon,Information,john.doe,102.140.132.119,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg5 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\c5f13560.tmp,2e4b45bde4f1916bd216ecf863983cee3a3b787feddaea370255cb8874c04753,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
241,2025-07-26 03:36:15,WIN-HOST-037,4702,Microsoft-Windows-Security-Auditing,Information,Administrator,129.22.227.252,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg5 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\f21fcffe.tmp,503517dae8f6e52c1869f84ae8cf763dcbe17c52cf4c87edbc1a8b0fbda94983,Scheduled task created or executed.,Execution,Scheduled Task/Job,T1053.005,Persistence via scheduled task.
242,2025-07-19 08:26:56,WIN-HOST-079,1,Microsoft-Windows-Sysmon,Warning,Administrator,249.159.7.4,C:\Windows\System32\rundll32.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg3 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\c371bc15.tmp,d92986345a082158eef16baad3458698695feba9472195ec709ed1de71bdadea,Attempt to read LSASS memory process or dump credentials detected.,Credential Access,Credential Dumping,T1003,Possible Mimikatz-like activity: access to lsass.exe memory.
243,2025-08-13 08:46:57,WIN-HOST-019,4663,Microsoft-Windows-Security-Auditing,Information,svc_backup,10.78.37.82,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg2 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\91267831.tmp,1b4b86d188cfadf35c9272588f0ec324af4ad999caf0e214dcdcf04ed366dc55,An attempt was made to access an object.,Initial Access,Phishing: Spearphishing Attachment,T1566.001,
244,2025-08-16 12:39:58,WIN-HOST-061,3,Microsoft-Windows-Sysmon,Information,bob,35.200.175.219,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg5 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\531cbfb6.tmp,66a3c655d77ca5d2768345e310daf00ac022a2747955b628cdb11ef10855efe4,Network Connection detected.,Credential Access,Input Capture: Keylogging,T1056.001,
245,2025-09-02 02:03:00,WIN-HOST-051,5145,Microsoft-Windows-Security-Auditing,Information,krbtgt,151.254.86.197,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg5 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\bb623339.tmp,f6cb5e478d1fa964b5b657ccc294045a798c572350c16971e289c7a7a4f18ca0,Access to ADMIN$ share or C$ share.,Lateral Movement,Windows Admin Shares,T1021.002,Possible lateral movement using admin shares.
246,2025-08-01 07:16:54,WIN-HOST-073,4625,Microsoft-Windows-Security-Auditing,Information,svc_updater,208.212.234.103,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg3 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\71d96be1.tmp,81eee2363ba7662f30b69719384ddf8652041aaa463c95e7817dea992002f3f1,Multiple failed logon attempts detected.,Credential Access,Brute Force,T1110,Failed logon count: 6
247,2025-07-23 04:34:57,WIN-HOST-040,5145,Microsoft-Windows-Security-Auditing,Information,IIS_APPPOOL\DefaultAppPool,152.207.17.136,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg6 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\9eb2d4bb.tmp,328b4381d57b71fd237fce71469a5cd80184f742acdd556ae787118f6802126d,A network share object was checked to see whether client can be granted desired access.,Privilege Escalation,Exploitation for Privilege Escalation,T1068,
248,2025-07-04 12:07:07,WIN-HOST-075,5156,Microsoft-Windows-Sysmon,Error,krbtgt,184.173.173.135,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg4 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\ce14333f.tmp,15a5b892431bd8e7fc65ba8ecf9778c293175f28c74338557c53e012a2c7e332,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
249,2025-07-18 18:58:19,WIN-HOST-080,5156,Microsoft-Windows-Security-Auditing,Information,svc_sql,62.0.152.14,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg6 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\b4e06a7b.tmp,ffe2e4f77c0d008541dd9f859152511cd7f766a278a7f4f8e97827eedea86533,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
250,2025-09-16 00:34:47,WIN-HOST-057,7045,Service Control Manager,Information,john.doe,38.196.50.246,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg2 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\b4916e2a.tmp,1b171965a721bd8be2dfd3055598e6ece6628ff4505bc4194bec867d062c9079,A service was installed in the system.,Impact,Service Stop,T1489,
251,2025-07-31 03:22:58,WIN-HOST-079,5145,Microsoft-Windows-Security-Auditing,Information,alice,180.173.175.137,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg2 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\802e4a25.tmp,948b579665e84ab66e3e882702b4c150d20217f5ada25d34d98ba8268a514da2,Access to ADMIN$ share or C$ share.,Lateral Movement,Windows Admin Shares,T1021.002,Possible lateral movement using admin shares.
252,2025-08-17 07:17:12,WIN-HOST-062,4663,Microsoft-Windows-Security-Auditing,Information,bob,44.85.174.247,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg5 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\fd7c7f00.tmp,879b444fbdbc5e72debe8b40d3ec982a6ca06f3d455787c64e25f1ad2dee5b41,An attempt was made to access an object.,Credential Access,Input Capture: Keylogging,T1056.001,
253,2025-07-26 19:47:54,WIN-HOST-046,4702,Microsoft-Windows-Security-Auditing,Information,IIS_APPPOOL\DefaultAppPool,156.45.250.151,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg2 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\e2f7ffa3.tmp,1af66115b1380e2dfe4e5b8c203508155baa015d4ffc5dbfcd3c40b69b70945c,Scheduled task created or executed.,Persistence,Scheduled Task/Job,T1053,Persistence via scheduled task.
254,2025-08-19 21:09:13,WIN-HOST-029,4663,Microsoft-Windows-Security-Auditing,Information,svc_updater,180.116.99.73,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg6 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\257fdbb9.tmp,06633824c914a8ea481a4289dc46fae102ce65fead78d6b577819a6ae90a13ab,An attempt was made to access an object.,Impact,Service Stop,T1489,
255,2025-08-18 01:56:55,WIN-HOST-062,4672,Microsoft-Windows-Security-Auditing,Information,john.doe,70.1.80.40,C:\Program Files\Git\bin\bash.exe,"C:\Program Files\Git\bin\bash.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\john.doe\AppData\Local\Temp\39226a0c.tmp,15bc3c64dfdd45f71153c65c7b9c487c66a26b22a779193894cbfc7acf061adf,Command executed via scripting engine.,Execution,Command and Scripting Interpreter,T1059,Suspicious scripting activity; check base64 or obfuscation.
256,2025-07-27 02:58:50,WIN-HOST-049,1,Microsoft-Windows-Sysmon,Information,svc_sql,205.251.77.185,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg1 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\02d0f0ae.tmp,646dafad74668b4f8839d8de962e33696a39dbbee891b076b213c57da5bf0c5e,Obfuscated script or binary detected.,Defense Evasion,Obfuscated Files or Information,T1027,Base64-heavy command line or packed binary.
257,2025-07-10 12:38:14,WIN-HOST-011,1102,Microsoft-Windows-Eventlog,Warning,john.doe,167.237.200.216,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg4 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\e53c87cc.tmp,2202a3cdd84c9f0e41f971415a15ec08e8d6dc0d0f2c492a43b5d187969ba2b6,The audit log was cleared.,Impact,System Shutdown/Reboot,T1529,
258,2025-08-29 05:51:16,WIN-HOST-069,7045,Service Control Manager,Information,svc_updater,178.56.72.73,C:\Program Files\Git\bin\bash.exe,"C:\Program Files\Git\bin\bash.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\svc_updater\AppData\Local\Temp\e81bb58a.tmp,7f56f3ef9780b49ce6e4bb7174ef7f454922e9f1d62c0bd774796e2343e05fae,Command executed via scripting engine.,Execution,PowerShell,T1059.001,Suspicious scripting activity; check base64 or obfuscation.
259,2025-07-07 22:18:22,WIN-HOST-076,4627,Microsoft-Windows-Security-Auditing,Information,svc_backup,59.155.45.69,C:\Program Files\Mozilla Firefox\firefox.exe,"C:\Program Files\Mozilla Firefox\firefox.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\svc_backup\AppData\Local\Temp\f746c8fd.tmp,77b45de79ec90ef1aea39d3851caab8f4f14b0b2c95047c071dcb028060aafda,Command executed via scripting engine.,Execution,Command and Scripting Interpreter,T1059,Suspicious scripting activity; check base64 or obfuscation.
260,2025-07-10 05:08:30,WIN-HOST-061,5156,Microsoft-Windows-Security-Auditing,Information,Administrator,237.217.122.26,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg6 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\9ae052a7.tmp,b81f3814a1ae677940656dbe3cd4376efbf5c8614655ece7e77c6c6643a5d3c0,Network scanning activity detected.,Discovery,Network Service Scanning,T1046,Port/protocol scanning pattern observed.
261,2025-07-16 16:50:31,WIN-HOST-026,4672,Microsoft-Windows-Security-Auditing,Information,svc_updater,196.203.41.79,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg5 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\b1f084a9.tmp,216d5fef9ea681e2c7754a470f3c58fc40f87009fb6b3c15aaae611692a6bcf3,Mass deletion of files detected.,Impact,Data Destruction,T1485,Data destruction activity suspected.
262,2025-07-27 21:42:43,WIN-HOST-005,1102,Service Control Manager,Information,Guest,235.109.47.237,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg4 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\94652543.tmp,91b928b3c76a3a59b98b8d738bdf337856a2c2eee918aa5d0d8eeb47cc850e8d,Registry query or modification.,Discovery,Query Registry,T1012,Possible discovery of startup keys or persistence mechanisms.
263,2025-07-07 03:24:11,WIN-HOST-038,4688,Microsoft-Windows-Security-Auditing,Information,SYSTEM,154.79.252.12,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg3 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\3b07a33a.tmp,6c7e1186ba2f7b004413b9d92ae524e5eebcc5a5e0876263f129894b6a807523,A new process has been created.,Credential Access,Input Capture: Keylogging,T1056.001,
264,2025-08-04 17:59:49,WIN-HOST-070,1102,Microsoft-Windows-Eventlog,Warning,bob,129.20.20.248,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg2 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\926d037c.tmp,d853cf9e5ac2dd5ca3411475045b542995bc4fb65e1c06228c345878c457ff00,The audit log was cleared.,Privilege Escalation,Exploitation for Privilege Escalation,T1068,
265,2025-09-06 22:13:16,WIN-HOST-043,11,Microsoft-Windows-Sysmon,Error,Guest,165.246.7.53,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg2 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\33e00f2b.tmp,6c488f9e0e36273f3998513f0c25b3f291387b665e6b0670d332797dd390cf69,File created.,Impact,Service Stop,T1489,
266,2025-07-08 08:15:47,WIN-HOST-044,4688,Microsoft-Windows-Security-Auditing,Information,svc_updater,229.164.152.59,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg4 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\c68ef82a.tmp,8d9c32b64885b825f5ca0c263d28597a3f76aabae4b28c6b0c9b94123d95c551,Registry query or modification.,Discovery,Query Registry,T1012,Possible discovery of startup keys or persistence mechanisms.
267,2025-09-09 10:35:36,WIN-HOST-052,5156,Microsoft-Windows-Security-Auditing,Information,IIS_APPPOOL\DefaultAppPool,35.255.35.211,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg2 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\55e71e6d.tmp,3d6587786903e131d8116fda826d1034497bf4e9d972ef6d69e2e783b0df3f08,Windows Filtering Platform has permitted a connection.,Defense Evasion,Timestomping,T1099,
268,2025-08-23 13:02:00,WIN-HOST-050,4624,Microsoft-Windows-Security-Auditing,Information,svc_backup,192.246.50.41,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg3 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\0a8a726b.tmp,2762ec50adc666d006b42dae904eafa6520805af73b0b6e3e16888b00769783f,An account was successfully logged on.,Persistence,Boot or Logon Autostart Execution,T1547,
269,2025-07-23 07:28:31,WIN-HOST-074,1102,Microsoft-Windows-Eventlog,Warning,SYSTEM,167.87.203.16,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg2 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\6d67c084.tmp,c33bb61e21dc5d8485f65d2017f229c99d889af4ebca5055b1a3270d93d67f71,The audit log was cleared.,Impact,Service Stop,T1489,
270,2025-07-15 00:39:10,WIN-HOST-016,11,Microsoft-Windows-Security-Auditing,Information,alice,40.227.51.182,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg5 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\6697dc46.tmp,b9af86bdde38464fff8ec35a4e9d5c1455e37dfd60051fed19a5774e94b3a8ca,File encryption/ransomware activity observed (file renames & extensions).,Impact,Ransomware,T1486,Mass file modifications and suspicious file extensions.
271,2025-08-18 16:04:33,WIN-HOST-016,11,Microsoft-Windows-Sysmon,Error,IIS_APPPOOL\DefaultAppPool,56.137.147.106,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg2 /c ""do_something""",C:\Users\IIS_APPPOOL\DefaultAppPool\AppData\Local\Temp\f824f426.tmp,333a7d15c0463b2039da4f9fd65ad23a40a8ba7c4136f27482c06e4b1df52d3e,File created.,Persistence,Boot or Logon Autostart Execution,T1547,
272,2025-09-02 23:45:32,WIN-HOST-059,4672,Microsoft-Windows-Security-Auditing,Information,krbtgt,180.42.4.86,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg5 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\d84a932a.tmp,23a198fba2d623a8536f7e1c63601d3e3d877e2fcc6a1ce60fea162d2d5d69a7,Special privileges assigned to new logon.,Initial Access,Exploit Public-Facing Application,T1190,
273,2025-09-11 20:48:01,WIN-HOST-071,4625,Microsoft-Windows-Security-Auditing,Warning,bob,38.92.185.217,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg5 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\4cd6fcb7.tmp,718e0603f4eec8ebd7aec0971ef7699287dbdb91fdd3a40aafee2f777b944a31,An account failed to log on.,Defense Evasion,Timestomping,T1099,
274,2025-09-06 13:50:54,WIN-HOST-027,4672,Microsoft-Windows-Security-Auditing,Information,krbtgt,130.167.245.134,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg1 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\dcd35f68.tmp,80eb464004a220e3268be964669da0bd2d071363ec4b67f815ba00253ac97290,Special privileges assigned to new logon.,Defense Evasion,Masquerading,T1036,
275,2025-09-05 01:15:16,WIN-HOST-066,4672,Microsoft-Windows-Security-Auditing,Information,svc_sql,144.92.123.221,C:\Windows\System32\mpssvc.dll,"""C:\Windows\System32\mpssvc.dll"" -arg4 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\8c0d3893.tmp,05c9037f5750d1378f25030b5a525d8e00d13de373d175e7575c98c41c4d5d72,Special privileges assigned to new logon.,Collection,Input Capture,T1056,
